Unnamed: 0,País,Expectativa de vida  geral,Expectativa de vida masculina,Rank masculino,Expectativa de vida feminina,Rank feminino
1,Japão,88,86,1,90,1
2,Andorra,84.2,80.8,8,87.6,2
3,Singapura,84,82,2,87,3
4,Hong Kong,83.8,82,2,85.6,5
5,San Marino,83.5,82,2,85,11
6,Islândia,83.3,81.4,6,85.2,9
7,Itália,83.1,80.4,10,85.8,4
8,Suécia,83,81.4,6,84.6,13
9,Austrália,83,80.5,9,85.5,6
10,Suíça,82.8,80.4,10,85.4,7
11,Canadá,82.5,80.4,10,84.6,13
12,Espanha,82.5,79.5,15,85,11
13,França,82.3,79.4,19,85.2,9
14,Israel,82.1,80.3,13,83.9,19
15,Luxemburgo,82,79.5,15,84.5,15
16,Noruega,81.9,80.2,13,83.6,22
17,Nova Zelândia,81.7,79.4,19,84,19
18,Áustria,81.5,78.5,24,84.5,15
19,Países Baixos,81.5,79.5,15,83.5,25
20,Irlanda,81.4,79.2,22,83.6,22
21,Chipre,81.2,79.1,23,84.3,18
22,Chile,81.2,80.1,38,82.3,33
23,Alemanha,81,78.5,24,83.5,25
24,Grécia,81,78,28,84,19
25,Finlândia,81,78.0,28,84,19
26,Coreia do Sul,81,,,,
27,Malta,81,79.4,19,82.6,32
28,Bélgica,81,78.5,24,83.5,25
29,Reino Unido,81,79.5,15,82.5,33
30,Liechtenstein,80.7,77.8,29,83.6,22
31,Taiwan,80.6,78,28,,
32,Líbano,80.5,78.9,27,82.5,38
33,Portugal,80,76.9,37,82.8,31
34,Eslovênia,80,77,35,83,30
35,Costa Rica,79.8,78.3,27,81.3,39
36,Estados Unidos,79.8,77.4,32,82.2,35
37,Dinamarca,79.5,77,35,82,36
38,Cuba,79.4,77.4,32,81.4,38
39,Emirados Árabes Unidos,79.2,77.2,34,81.2,40
40,Brunei,79,77.5,30,80.5,46
41,Barbados,78.5,76.2,39,80.8,45
42,Kuwait,78.2,75.5,41,80.5,40
43,Chéquia,78,75,42,81,42
44,Panamá,77.8,74.6,44,81,42
45,Polónia,77.5,73.5,51,81.5,37
46,Croácia,77.5,74.5,45,80.5,46
47,Dominica,77.5,75,41,80,52
48,Uruguai,77.3,74.2,48,80.4,49
49,México,77.2,74.2,49,80.2,
50,Maldivas,77.2,76.2,39,78.2,73
51,Bahrein,77,75,41,79,60
52,Argélia,73.12[6],70.12 [7],-,78.72[7],-
53,Belize,77,74.4,46,79.4,57
54,Eslováquia,76.3,72.9,?,79.61,? [8]
55,Marrocos,76.51[7],73.44[7],-,79.94[7],
56,Bahamas,76.5,73.5,51,79.5,55
57,Granada,76.5,73,54,80,52
58,Brasil,76.2,72.6,63,79.8,54
59,Estónia,76.1,71,91,81.2,40
60,Equador,76,73,54,79,60
61,Argentina,76,73,54,79,62
62,São Vicente e Granadinas,76,73,54,79,62
63,Omã,76,73,54,79,62
64,Bósnia e Herzegovina,76,74,50,78,77
65,China,76,74,50,77,92
66,Lituânia,75.9,70.8,102,81,42
67,Antígua e Barbuda,75.8,74.4,46,77.2,91
68,Malásia,75.7,72.2,70,79.2,59
-,Tunísia,74.6[7],72.6[7],-,78.9[7],-
69,Santa Lúcia,75.5,71.5,82,79.5,55
70,Catar,75.5,73,54,78,77
71,Ilhas Maurícias,75.2,71,91,79.4,57
72,São Cristóvão e Neves,75.1,72.2,70,78,77
73,Vietname,75,73,54,77,92
74,Hungria,75,71,91,79,62
75,Venezuela,75,71.5,82,78.5,67
76,Macedônia do Norte,75,73,54,77,92
77,Síria,75,72,72,78,77
78,Tailândia,74.9,71.4,88,78.4,69
79,Trinidad e Tobago,74.8,71.5,82,78.1,76
80,Seicheles,74.7,71,91,78.4,69
81,Sri Lanka,74.7,71.4,88,78,77
82,Paraguai,74.7,71.6,80,77.8,86
83,Peru,74.7,71.6,80,77.8,86
84,El Salvador,74.6,70.8,102,78.4,69
85,Jordânia,74.6,72.4,66,76.8,98
86,Colômbia,74.6,72.4,66,76.8,98
87,Tonga,74.5,73,54,76,106
88,Cabo Verde,74.5,70.6,104,78.4,69
89,Letónia,74.5,69.5,112,78.5,67
90,Nicarágua,74.5,71.5,82,77.5,88
91,Líbia,74.5,71,91,78,77
92,Geórgia,74.5,70.2,106,78.8,66
93,Montenegro,74.5,71.5,82,77.5,88
94,Bulgária,74.5,71,91,78,77
95,Suriname,74.5,72,72,77,92
96,Turquia,74.4,72.4,66,76.4,103
96,Armênia,74.4,70.6,104,78.2,73
97,Arábia Saudita,74.3,72.4,66,76.2,105
98,Samoa,74,71,91,77,92
100,Palau,74,70,107,78,77
101,Roménia,74,70,107,78,77
102,Honduras,74,72,72,76,106
103,Albânia,74,72,72,76,106
104,Sérvia,74,71,91,77,92
105,Jamaica,74.8,71.5,82,78.2,73
106,Irão,73.5,72,72,75,115
107,Ilhas Marshall,73.5,69,116,75,115
109,Egito,73.2,71.2,90,75.2,114
110,República Dominicana,73.2,72,72,74.4,123
111,Fiji,73,70,107,76,106
112,Filipinas,73,70,107,76,106
113,Ilhas Salomão,73,71,91,75,115
114,Nauru,73,70,107,76,106
116,Bielorrússia,72.5,68.5,117,77.5,88
117,Indonésia,72,68,118,76,106
118,São Tomé e Príncipe,72,68,118,76,106
119,Vanuatu,72,71,91,74,124
120,Azerbaijão,71.5,69.5,112,74.5,122
121,Guatemala,71.5,68,118,75,115
122,Moldávia,71,67,124,75,115
123,Rússia,70.5,62,135,76.3,104
124,Butão,70.8,69.2,115,72.4,128
125,Guiana,70.5,67.5,123,73.5,125
126,Estados Federados da Micronésia,70,68,118,72,129
127,Bangladesh,70,69.5,112,70.5,137
128,Quirguistão,69,65,135,72,129
129,Iraque,68.5,65,135,72,129
130,Coreia do Norte,69,66,130,72,129
131,Nepal,69,68,118,70,138
132,Mongólia,69,65,135,73,126
133,Bolívia,69,67,124,71,133
134,Uzbequistão,68.5,66,130,71,133
135,Ucrânia,68.25,62.37,134,74.5,100
136,Laos,68,66.5,128,69.5,141
137,Myanmar,68,66,130,70,138
138,Cazaquistão,68,63,146,73,126
139,Comores,68,65,135,71,133
140,Kiribati,68,65,135,71,133
141,Tajiquistão,68,67,124,69,142
142,Papua-Nova Guiné,67.5,65,135,69,142
143,Namíbia,67.2,66.2,129,68.2,144
144,Paquistão,67,66,130,68,145
145,Turquemenistão,66.5,63,146,70,138
146,Camboja,66,64,143,68,145
147,Gana,66,64,143,68,145
148,Madagáscar,66,65,135,68,145
149,Botswana,66,64.5,142,67.5,149
150,Índia,65,64,143,67,150
151,Gabão,64,62,150,66,151
152,Iêmen,64,63,146,66,151
153,Timor-Leste,64,63,146,65,154
154,Senegal,64,62,150,66,151
155,Haiti,63,62,150,64,156
156,Sudão,63,61,152,65,154
157,Eritreia,61.5,59,154,64,156
158,Camarões,61.5,59,154,64,156
159,África do Sul,61,59,154,63,160
160,Djibuti,61,59,154,64,156
161,Etiópia,60.5,59,154,62,161
162,Quênia,60,59,154,61,162
163,Ruanda,60,59,154,61,162
164,Afeganistão,60,59,154,61,162
165,Mauritânia,59.5,57,167,61,162
166,Libéria,59,58,162,60,168
167,Tanzânia,59,58,162,61,162
168,Benim,59,58,162,60,168
169,Gâmbia,59,57.5,165,60.5,167
170,Malawi,58,57.5,165,58.5,171
171,República Democrática do Congo,58,57,167,59,170
172,Togo,57,55.5,169,58.5,171
173,Burquina Fasso,56.5,54,173,57,175
174,Côte d'Ivoire,56.5,55,170,58,173
175,Uganda,56,54.5,172,57.5,174
176,Níger,56,55,170,57,175
177,Zâmbia,55.5,54,173,56,177
178,Guiné,55,54,173,56,177
179,Guiné Equatorial,54,53,176,55,179
180,Zimbabwe,54,53,176,55,179
181,Burundi,53,52,178,54,181
182,Nigéria,53,52,178,54,181
183,Moçambique,52.5,52,178,53,184
184,Angola,52,51,181,53,184
185,Chade,51,50.5,182,53.5,183
186,Mali,51,50,183,53,184
187,Lesoto,51,50,183,52,187
188,Guiné-Bissau,50,48,186,52,187
189,Essuatíni,50,49,185,51,190
190,Somália,50,48,186,52,187
191,República do Congo,49.5,48,186,51,190
192,República Centro-Africana,48.5,47,187,50,192
193,Serra Leoa,38,37,188,39,194
